"CustomerID","Company Name","Address Name","Address Number","Street","Village","Town","County","Postcode","Customer Contact","Customer Tel","Debtors No","Bin Location",,,,,,,,,"Agreement No","Refuse/ Recycling/Glass School/School Recycling/Schd.2 Refuse/Schd.2 Rec.","Bin Size","Bin Quantity","Cedar Code Abbreviations","Collection Schedule 
(per bin)","Round/ Day",,,,,,,"Commencement Date","Cancellation Date"
286,"Nationwide Building Society",,9,"New Conduit Street",,"King's Lynn","Norfolk","PE30 1DE",,"01553 730000","EH1006973",,,,,,,,,,115569,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"T1",,,,01/09/06,
287,"Youngs of Leicester Ltd",,"40/42",,"Belvoir Street","Leicester",,"LE1 6QE",,,"EH0964550","Youngs Cameras",,"2A","Norfolk Street",,"King's Lynn",,"Norfolk","01553 760256",303,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,,,"T1",,,,01/04/94,
294,"Thomas Estates Ltd",,"17A","Market Place",,"Loughborough","Leics","LE11 3EA",,,"EH0939756","Showboat","Unit 1","14A","Norfolk Street",,"King's Lynn",,"Norfolk","01553 767236",319,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,,,"T1",,,,01/11/94,
296,"Oldbylands Ltd ","t/as Toffs",109,"Norfolk Street",,"King's Lynn","Norfolk","PE30 1AQ","Sandra Byles","07888 743604","EH2021635",,,,,,,,,,115321,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,"T1",,,,01/09/06,
301,"Norwich & Peterborough Building Society","Peterborough Business Park",,"Lynchwood",,"Peterborough",,"PE02 6WZ",,"01733 372356","EH0968802","Norwich & Peterborough Building Society",,08/12/09,"New Conduit Street",,"King's Lynn","Norfolk","PE30 1DL","01553 763388",1060,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"T1",,,,01/02/93,
303,"Miss M G Hooker","The Filling Station",136,"Norfolk Street",,"King's Lynn","Norfolk","PE30 1AU","Maria Hooker",,"EH1057612",,,,,,,,,"01553 772282",98060,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,01/06/05,
304,"Francis Wain Jewellers",,5,"Norfolk Street",,"King's Lynn","Norfolk","PE30 1AR",,"01553 774499","EH0938798",,,,,,,,,,435,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"T1",,,,01/04/87,
306,"King's Lynn Glass & Trimming",,"34-36A","Norfolk Street",,"King's Lynn","Norfolk","PE30 1AH",,"01553 773531","EH0938901",,,,,,,,,,35,"Refuse",770,1,"770-1, CWTN-1","One empty per week","T1",,,,,,,01/04/87,
307,"A R & J M Barton","t/as Van Pelt Butchers",108,"Norfolk Street",,"King's Lynn","Norfolk","PE30 1AQ","AR & J M Barton","01553 773536","EH2011442",,,,,,,,,,1918,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"T1",,,,01/04/03,
317,"Palmer & Palmer Coffee Roasters","P.O. Box 38",,,"Wansford","Peterborough",,"PE08 6NA",,"01733 238595","EH0939729",,,,,,,,,,572,"Refuse",770,1,"770-1, CWTN-1","One empty per week","T1",,,,,,,01/04/95,
322,"Silk Road Restaurant Ltd",,"1A","Railway Road",,"King's Lynn","Norfolk","PE30 1NE",,"01553 770942","EH0939783",,,,,,,,,,137812,"Refuse",1100,2,"1100-1, CWTN-1","One empty per week","T1",,,,,,,21/04/08,15/05/09
,,,,,,,,,,,,,,,,,,,,,137812,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly: except Xmas/New Year weeks","G3/WK2",,,,,,,21/04/08,
,,,,,,,,,,,,,,,,,,,,,152454,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,15/05/09,07/07/09
,,,,,,,,,,,,,,,,,,,,,155459,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week","T1",,,"T1",,,,07/07/09,
328,"Flechane Ltd","T/As Simply Classic","3/3A","Railway Road",,"King's Lynn","Norfolk","PE30 1NE",,"01553 771001","EH0939792",,,,,,,,,,118016,"Refuse",770,1,"770-1, CWTN-1","One empty per week","T1",,,,,,,11/10/06,
330,"Globe Bowling Club",,,"St. Johns Walk",,"King's Lynn","Norfolk","PE30 1NT","Mr B Venemore Secretary","01553 765287","EH1030603",,,,,,,,,,145563,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,,"T1",,,,,01/08/08,
340,"Norfolk County Council","County Hall",,"Martineau Lane",,"Norwich","Norfolk","NR1 2SF","Mr David Williams","01603 222717","EH2004320","Norfolk County Council","St. Margarets |House",,"Saturday Market Place",,"King's Lynn","Norfolk",,"01553 669273",637,"Refuse",1100,1,"1100-1","One empty per week",,,"T1",,,,,01/04/95,
,,,,,,,,,,,,,,,,,,,,,2193,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/04,
346,"Davis, Simpson & Davis",,"13A","St. James Street",,"King's Lynn","Norfolk","PE30 5DA",,"01553 761322","EH0934668",,,,,,,,,,108605,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week","T1",,"T1",,,,,09/06/05,
357,"Messrs Colin, Saeed, Ramasamy & Patel","T/as Manton House Nursing Home",05/07/09,"Tennyson Avenue",,"King's Lynn","Norfolk","PE30 2QG",,"01553 766135","EH2017199",,,,,,,,,,95000,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week","T1",,,"T1",,,,01/10/04,
361,"Mick Culey",,,"Tower Place",,"King's Lynn","Norfolk","PE30 5DF",,"01553 773308","EH0947143",,,,,,,,,,558,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/95,
362,"Mr B Evans","t/as Economy Flooring",30,"Tower Street",,"King's Lynn","Norfolk","PE30 1BJ","Mr Barry Evans","01553 762878","EH2025969",,,,,,,,,,126517,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,"T1",,,,01/08/07,
363,"Ward Gethin Solicitors",,08/12/09,"Tuesday Market Place",,"King's Lynn","Norfolk","PE30 1JT",,,"EH0940224",,,,,,,,,,130403,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly: except Xmas/New Year weeks","G3/WK2",,,,,,,15/10/07,
,,,,,,,,,,,,,,,,,,,,,147429,"Refuse",770,2,"770-1, CWTN-1","One empty per week",,,"T1",,,,,08/12/08,
368,"Overtons Coachpainters","The Harbour Garage",,"Wisbech Road",,"King's Lynn","Norfolk","PE30 5JL",,"01553 761774","EH1057533",,,,,,,,,,730,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,"T1",,,,,,01/12/95,
371,"CTSSecurity Ltd","Southgates Corner",,"Wisbech Road",,"King's Lynn","Norfolk","PE30 5JH",,"01553 765429","EH0975611",,,,,,,,,,2165,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/04,
375,"The White Horse Public House",,9,"Wootton Road",,"King's Lynn","Norfolk","PE30 4EZ","Mr M K Hunter","01553 763258","EH0940932",,,,,,,,,,798,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"T1",,,,15/04/87,
377,"ADR Auto's Ltd","Morleys Garage",,"Wisbech Road","South Lynn","King's Lynn","Norfolk","PE30 5JS",,"01553 771331","EH0931596",,,,,,,,,,,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,"T1",,,,,,,
383,"The Castle Gate",,,"Stocks Green","Castle Acre","King's Lynn","Norfolk","PE32 2AE","Mr S Barnfield","01760 755577","EH2003276",,,,,,,,,,97723,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"D3",,,,18/04/05,
386,"Dang's Thai Restaurant",,"51-53","Bridge Street",,"Downham Market","Norfolk","PE38 9DW","P D Kittisak","01366 388147","EH1143162",,,,,,,,,,1196,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,"D9",,,,,,01/03/99,
392,"Mr G Milton","Milton Butchers",3,"Congham Road","Grimston","King's Lynn","Norfolk","PE32 1DW",,"01485 600216","EH1047290",,,,,,,,,,706,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,,,,"D4",,,01/09/95,
393,"System Three Business Solutions Ltd","The Old Mill",,"Litcham Road","Gayton","King's Lynn","Norfolk","PE32 1PQ",,"01553 636702","EH1006982",,,,,,,,,,136594,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,,,,"D3",,,01/04/08,
,,,,,,,,,,,,,,,,,,,,,136594,"Recycling",660,1,"660-8, CWTN-2","Fortnightly: except Xmas/New Year weeks",,,,,"R5/WK2",,,01/04/08,
396,"Mr R Molyneux","The Village Store",,"Station Road","Gt. Massingham","King's Lynn","Norfolk","PE32 2HY",,"01485 520272","EH1129216",,,,,,,,,,1045,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,,"D3",,,,,,
400,"North Wootton Village Hall","c/o Mr N Cesar (Hon.Treasuruer)",40,"Woodland Gardens","North Wootton","King's Lynn","Norfolk","PE30 3PX",,,"EH0945419",,,,,,,,,,567,"Schd 2.Refuse",770,1,"770-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/95,
401,"West Norfolk Rugby Club","c/o Mr. A. C. Dodds FCA",26,"King Street",,"King's Lynn","Norfolk","PE30 1HJ",,"01553 631307","EH0941167","West Norfolk Rugby Club",,,"Gate House Lane","North Wootton","King's Lynn","Norfolk","PE30 3RJ",,93718,"Schd.2 Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,01/02/05,
403,"Hansatech Instruments Ltd","Stud Farm",,"Narborough Road","Pentney","King's Lynn","Norfolk","PE32 1JL",,"01760 338877","EH0935592",,,,,,,,,,997,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"D3",,,,25/11/91,
408,"South Wootton Parish Council","The Parish Office ",,"Church Lane","South Wootton","King's Lynn","Norfolk","PE30 3LJ",,,"EH0941255",,"Village Hall",,"Church Lane","South wootton","King's Lynn","Norfolk","PE30 3LJ",,82,"Schd.2 Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/94,
419,"Woodlands Residential Home",,18,"Grimston Road","South Wootton","King's Lynn","Norfolk","PE30 3HU",,"01553 672076","EH0947374",,,,,,,,,,156474,"Schd.2. Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week",,"T1",,,"T1",,,11/10/07,
,,,,,,,,,,,,,,,,,,,,,125943,"Schd 2.Refuse",770,1,"770-1","One empty per week",,"T1",,,,,,26/07/07,
,,,,,,,,,,,,,,,,,,,,,127793,"Sch.2 Rec",1100,1,"1100-12, 1100-15 x 25, CWTN 2","50 empties: Weekly except Xmas & New Year weeks",,,,"G3/WK1
R3/WK2",,,,26/07/07,
421,"Eagles Golf & Tennis Centre Ltd",,39,"School Road","Tilney All Saints","King's Lynn","Norfolk","PE34 4RS",,"01553 827147","EH0942286",,,,,,,,,,43,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,"D7",,,,01/04/94,
423,"Burman House",,,"Mill Road","Terrington St. John","Wisbech","Cambs","PE14 7SF",,"01945 880464","EH0943554",,,,,,,,,,103904,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,"D7",,,,01/10/05,
,,,,,,,,,,,,,,,,,,,,,"103904A","Refuse",1100,1,"1100-1","One empty per week",,,,"D7",,,,01/10/05,
425,"KGB Transport Ltd","Copperfield",,"St. Johns Road","Tilney St. Lawrence","King's Lynn","Norfolk","PE34 4QL",,"01945 880717","EH0947152",,,,,,,,,,101218,"Refuse",770,1,"770-3, 770-4 x 26, CWTN-1","26 empties: Fortnightly",,,,"D7/WK1",,,,01/08/05,
427,"Terrington St Clement Village Hall","c/o Mr. W I Sherwood(Treasurer)",4,"Lovell Way","Terrington St. Clement","King's Lynn","Norfolk","PE34 4WG",,,"EH0941361",,"Village Hall",,"Churchgate Way","Terrington St Clement","King's Lynn","Norfolk","PE34 4LZ","01553 829509",614,"Schd.2 Refuse",770,1,"770-1, CWTN-1","One empty per week","D4",,,,,,,01/04/95,
430,"William Burt Social Club",,,"Watering Lane","West Winch","King's Lynn","Norfolk","PE33 0JY",,"01553 841542","EH0943590",,,,,,,,,,3,"Refuse",360,1,"360-1, CWTN-1","One empty per week","D3",,,,,,,01/02/04,
436,"West Winch Village Store",,212,"Main Road","West Winch","King's Lynn","Norfolk","PE33 0NP","Mr P Patel","01553 840243","EH2013891",,,,,,,,,,103693,"Refuse",770,1,"770-1, CWTN-1","One empty per week","D3",,,,,,,01/04/05,20/04/09
,,,,,,,,,,,,,,,,,,,,,151786,"Refuse",660,1,"660-1, CWTN-1","One empty per week","D3",,,,,,,21/04/09,
437,"C H Cook (Wisbech) Ltd","Cooks The Butchers",14,"School Road","West Walton","Wisbech","Cambs","PE14 7ES",,"01945 583549","EH0947240",,,,,,,,,,479,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,"D7",,,,,,01/04/95,
439,"Youth Hostel Association",,15,"Avenue Road",,"Hunstanton","Norfolk","PE36 5BW",,"01485 532061","EH1008810",,,,,,,,,,,"Sch.2 Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,125356,"Schd.2 Rec",1100,1,"1100-12, CWTN-2","Fortnightly: except Xmas/New Year weeks","R2 WK1",,,,,,,01/06/07,
444,"Mr S W Nunn","Vegas Amusements",,"South Beach Road",,"Hunstanton","Norfolk","PE36 5LA","Mr S W Nunn","01485 533049","EH0950628","Vegas Caravan Site",,,"South Beach Road",,"Hunstanton","Norfolk","PE36 5LA",,110167,"Schd.2. Refuse",660,1,"660-3, 660-4 x 30, CWTN-1","One empty per week: 1 April - 31 October",,,,,"T1",,,01/04/06,
445,"AMG Leisure Ltd",,"Units 2 & 3","The Sidings","Melmerby","Ripon",,"HG4 5EX","Mr T Bowman","07854 516744","EH2028112","Beach Plaza",,,"Beach Terrace Road",,"Hunstanton","Norfolk","PE36 5BQ",,31,"Refuse",1100,1,"1100-1, 1100-4 x 22, CWTN-1","Weekly emptying all year (52 empties)
Additional  Weekly Emptying 1 May -30 Sept (22 empties)",,,,,"T1",,,01/04/94,
449,"Paris Print & Design",,,"Crescent Lane",,"Hunstanton","Norfolk","PE36 5BX",,,"EH0981204",,,,,,,,,,122881,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,01/04/07,
450,"Krusty Loaf Ltd",,2,"Crescent Road",,"Hunstanton","Norfolk","PE36 5BU","Mr P S Henry","01485 533457","EH0931064",,,,,,,,,,151228,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week",,"T2",,,"T1",,,,
,,,,,,,,,,,,,,,,,,,,,136519,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly: except Xmas/New Year weeks","R2 WK1",,,,,,,01/04/08,
451,"Borough Council of KL&WN","Tourist Information Centre, Town Hall",,"The Green",,"Hunstanton","Norfolk","PE36 6BQ",,"01485 535150","EH0951303","B.C.K.L.W.N","Oasis Leisure Centre",,"Seagate Road",,"Hunstanton","Norfolk","PE36",,,"Refuse",1100,1,"1100-3, 1100-4 x 30. CWTN-1","One empty per week: 1 April - 31 October",,,,,"T1",,,,
452,"East Of England  Ambulance NHS Trust","East of England Ambulance NHS Trust","Ambulance Headquarters","Hospital Lane","Hellesdon","Norwich","Norfolk","NR6 5NA",,,"EH0952291",,"Ambulance Station",,"King's Lynn Road",,"Hunstanton","Norfolk","PE36",,421,"Refuse",240,1,"240-1, CWTN-1","One empty per week",,,,,"T1",,,01/04/95,
468,"Lincoln Lodge",,2,"Lincoln Square",,"Hunstanton","Norfolk","PE36 6DL","Brian James Poore","01485 534570","EH0948527",,,,,,,,,,110958,"Schd.2 Refuse",770,1,"770-1, 770-2 x 2, CWTN-1","Three empties per week","T2",,"T2",,"T1",,,24/04/06,
481,"China Garden House",,5,"Northgate Precinct",,"Hunstanton","Norfolk","PE36 6EA",,"01485 532023","EH1008227",,,,,,,,,,1287,"Refuse",770,1,"770-1, CWTN-1","One empty per week","T1",,,,,,,01/11/99,
482,"The Northgate Indian Restaurant",,08/09/09,"Northgate Precinct",,"Hunstanton","Norfolk","PE36 6EA",,"01485 535005","EH1026285",,,,,,,,,,322,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,01/11/94,
483,"Caley Hall Hotel Ltd",,,"Old Hunstanton Road",,"Old Hunstanton","Norfolk","PE36 6HH","Arran & Jo Jamieson","01485 533486","EH0950664",,,,,,,,,,122714,"Refuse",1100,2,"1100-1, 1100-4 x 36, CWTN-1","One empty per week plus additional weekly emptying:
1 April - 10 November and 01-31 March","D1",,,,"T2",,,01/04/07,
,,,,,,,,,,,,,,,,,,,,,134929,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly: except Xmas/New Year weeks","R1 WK1",,,,,,,05/02/08,
,,,,,,,,,,,,,,,,,,,,,151038,"Glass",770,1,"770G-1, CWTN-5","One empty per week","G3",,,,,,,01/04/09,
485,"Vegas Amusements Arcade",,,"South Beach Road",,"Hunstanton","Norfolk","PE36 5BA","Mr S W Nunn","01485 533049","EH0950628",,,,,,,,,,106185,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,,"T1",,,01/12/05,
487,"Triangle Amusements Ltd","Unit 4",,"Garrood Drive",,"Fakenham","Norfolk",,,,"EH0943697","Triangle Amusements Ltd","Rainbow Amusement Park",,"Seagate Road",,"Hunstanton","Norfolk","PE36","01485 532340",2181,"Refuse",770,1,"770-3, 770-4 x 70, CWTN -1","One empty per week :1 April - 31 October plus additional
weekly emptying 5-19th March ,May Bank Holidays and  1st July - 1st September (70 empties in total)","T2",,"T2",,"T1",,,01/04/04,
,,,,,,,,,,,,,,,,,,,,,2182,"Refuse",1100,1,"1100-3, 1100-4 x 70,","One empty per week :1 April - 31 October plus additional
weekly emptying 5-19th March ,May Bank Holidays and  1st July - 1st September (70 empties in total)","T2",,"T2",,"T1",,,01/04/04,
494,"Borough Council of King's Lynn & West Norfolk","Princess Theatre",,"The Green",,"Hunstanton","Norfolk",,"Nicola Rippengill","01485 535937","EH0951419",,,,,,,,,,121926,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,01/03/07,
,,,,,,,,,,,,,,,,,,,,,121926,"Recycling",1100,1,"1100-10, CWTN-2","Fortnightly: except Xmas/New Year weeks","R2 WK1",,,,,,,01/03/07,
,,,,,,,,,,,,,,,,,,,,,147080,"Glass",770,1,"770G-1, CWTN-5","One empty per week","G3",,,,,,,15/12/08,
497,"Drs Machin & Thorpe","The Surgery",8,"Valentine Road",,"Hunstanton","Norfolk","PE36 5DN",,"01485 532859","EH1008713",,,,,,,,,,92151,"Refuse",770,1,"770-1, CWtN-1","One empty per week",,,,,"T1",,,01/12/04,
498,"Borough Council of King's Lynn & West Norfolk","Customer Information Centre",,"Valentine Road",,"Hunstanton","Norfolk","PE36 5EZ",,"01485 532516","EH0951552",,,,,,,,,,122628,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,"T2",,,"T1",,,01/04/07,
,,,,,,,,,,,,,,,,,,,,,122628,"Recycling",1100,1,"1100-10, CWTN-2","Fortnightly: except Xmas/New Year weeks","R2 WK 1",,,,,,,01/04/07,
503,"Burnham Market Dental Surgery",,,"Front Street","Burnham Market","King's Lynn","Norfolk","PE31 8HE","Dr N S Amin","01328 738525","EH2028302",,,,,,,,,,136785,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,"D13",,,,,,01/04/08,
504,"M Stubbings Ltd","T/as Norfolk Living",,"Market Place","Burnham Market","King's Lynn","Norfolk","PE31 8HF",,"01328 730668","EH1057524",,,,,,,,,,731,"Refuse",360,1,"360-1, 360-2, CWTN-1","Two empties per week",,"D13",,,"T2",,,01/12/95,
506,"Brancaster Staithe Village Hall","c/o Mrs A Smith (Secretary) Breakwaters",,"Main Road","Brancaster Staithe","King's Lynn","Norfolk","PE31 8BY",,"01485 210544","EH1076106","Brancaster Staithe Village Hall",,,"Main Road ","Brancaster Staithe","King's Lynn","Norfolk","PE31 8BP","01485 210255",862,"Refuse",240,1,"240-3, 240-4 X 40, Ref Misc. (3 emp),
 CWTN-1","One empty per week: 1 April - 30 November & 1-31 March
One empty per month : 1 December - 28 February","D5",,,,,,,01/12/06,
507,"Mr A Howell","Angus House",,"High Street",,"Well-next-the-Sea","Norfolk","NR23 1EW",,,"EH0949868","Howells Butchers",,,"Market Place","Burnham Market","King's Lynn","Norfolk","PE31 8HD","01328 738230",139054,"Refuse",770,1,"770-1, 770-2, CWTN-1","Two empties per week",,"D13",,,"T2",,,01/04/08,
509,"S & S (Chemists) Ltd","The Pharmacy",,"Market Place","Burnham Market","King's Lynn","Norfolk","PE31 8HD",,"01328 738215","EH1007560",,,,,,,,,,1831,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,"D13",,,,,,01/10/02,
511,"Grooms Bakery",,,"Market Place","Burnham Market","King's Lynn","Norfolk","PE31 8HD","John Robert Groom","01328 738229","EH0949956",,,,,,,,,,149,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"D13",,,,,,01/04/94,
,,,,,,,,,,,,,,,,,,,,,139018,"Recycling",1100,1,"1100-2, CWTN-2","Fortnightly: except Xmas/New Year weeks",,"R6 WK1",,,,,,01/06/08,
514,"Burnham Motors Garage Ltd",,,"Creake Road","Burnham Market","King's Lynn","Norfolk","PE31 8EA",,"01328 738387","EH0977363",,,,,,,,,,97051,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"D13",,,,,,01/05/05,
515,"Gurney Seafoods Ltd",,,"Market Place","Burnham Market","King's Lynn","Norfolk","PE31 8HF","Mike Gurney","01328 738967","EH0980857",,,,,,,,,,,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week",,"D13",,,"T2",,,,
516,"White Horse Public House",,,"Main Road","Brancaster Staithe","King's Lynn","Norfolk","PE31 8BW","John McKlusky - Licensee","01485 210262","EH1070379",,,,,,,,,,2230,"Refuse",1100,4,"1100-1, 1100-2, CWTN-1","Two empties per week","D5",,,,"T2",,,01/05/04,
518,"Braemar Caravan Site",,,,"Brancaster Staithe","King's Lynn","Norfolk","PE31 8BJ","Mr R E Loose","01485 210312","EH0953709",,,,,,,,,,1367,"Refuse",770,1,"770-3, 770-4 x 30, CWTN-1","One empty per week: 1 April - 31 October","D5",,,,,,,01/04/00,
,,,,,,,,,,,,,,,,,,,,,150852,"Recycling",360,1,"360-14 x 16, CWTN-2","Fortnightly emptying: 1 April - 10 November","R3 WK 2",,,,,,,01/04/09,
519,"Royal West Norfolk Golf Club",,,"Beach Road","Brancaster","King's Lynn","Norfolk","PE31 8AX",,"01485 210087","EH0949734",,,,,,,,,,151028,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week","D5",,,,"T2",,,01/04/09,
,,,,,,,,,,,,,,,,,,,,,151028,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly: except Xmas/New Year weeks","R3 WK 2",,,,,,,01/04/09,
,,,,,,,,,,,,,,,,,,,,,153378,"Recycling",1100,1,"1100-9","Fortnightly: except Xmas/New Year weeks","R3/WK2",,,,,,,25/08/09,
521,"The Old Lifeboat Caravan Park Ltd","c/o Mr C S Polito, Shammar House",,,"North Creake","Fakenham","Norfolk","NR21 9LN","Mr C S Polito","01328 730802","EH2000041","The Old Lifeboat Caravan Park",,,"Broad Lane","Brancaster","King's Lynn","Norfolk","PE31 8AA",,124214,"Refuse",770,1,"770-3, 770-4 x 44, CWTN-1","One empty per week: 1 April - 19 November
Additional weekly emptying: 1 July - 31 August
Additional empty: Easter week (variable)","D5",,,,"T2",,,01/05/08,
,,,,,,,,,,,,,,,,,,,,,124214,"Recycling",660,1,"660-14 x 17, CWTN-2","Fortnightly emptying 1 April - 19 November","R3 WK 2",,,,,,,01/05/08,
523,"Eloise Ltd of The Hero Caravan Park","Church House",,"Church Lane","Shepreth","Royston","Herts","SG8 6RQ","Mr W & Mrs M Quantrill","01328 738334","EH2017774","The Hero ",,,"Wells Road","Burnahm Overy Staithe","King's Lynn","Norfolk","PE31 8JE",,111295,"Refuse",1100,2,"1100-1, 1100-4 x 22,  CWTN-1","One empty per week plus additional weekly emptying:
1 May - 30 September ","D13",,,,"T2",,,28/04/06,
527,"Dersingham Village Social Club","Queen Elizabeth II Jubilee Hall","23a","Lynn Road","Dersingham","King's Lynn","Norfolk","PE31 6JA","Mrs D Valentine","01485 540466","EH1035515",,,,,,,,,,1914,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,01/04/03,
530,"Dersingham Parochial Church Council","c/o Mr. N Adams, Tanglewood",34,"West Hall Road","Dersingham","King's Lynn","Norfolk","PE31 6JF",,"01485 540857","EH0950178","Dersingham Church Hall",,,"Manor Road","Dersingham","King's Lynn","Norfolk","PE31",,950178,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,,,,"T1",,,,
531,"Bircham Sports & Social Club","c/o Mrs D Preston","12 Church Farm",,"Bircham Newton","King's Lynn","Norfolk","PE31 6QZ",,,"EH0969037","Bircham Sports & Social Club",,,"Church Lane","Bircham","King's Lynn","Norfolk","PE31 6RJ",,204,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,,,,"D1",,,01/04/94,25/06/09
,,,,,,,,,,,,,,,,,,,,,153950,"Refuse",660,1,"660-3, 660-4 x 26, CWTN--1","26 empties: Fortnightly",,,,,"D1 WK 1",,,26/06/09,
536,"Torc Motors",,68,"Hunstanton Road","Dersingham","King's Lynn","Norfolk","PE31 6NB",,,"EH0981064",,,,,,,,,,401,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,,,"T1",,,01/04/95,
538,"Norfolk County Council","Countryside Division,Dept.Planning &Transportation",,"County Hall","Martineau Lane","Norwich","Norfolk","NR1 2SG",,"01603 222769","EH0976402","A149 Picnic Site",,,,"Dersingham","King's Lynn","Norfolk",,,88612,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,01/09/04,
547,"The White Horse Public House",,40,"Kirkgate Street","Holme-next-Sea","Hunstanton","Norfolk","PE36 6LA","Mr J King","01485 525512","EH2010693",,,,,,,,,,1862,"Refuse",1100,2,"1100-1, 1100-4 x 19, CWTN-1","One empty per week plus 
Additional weekly emptying 12 June - 15 Sept plus
Additional emptying on Fridays prior to Bank Holiday Mondays","D1 ",,,,"T2",,,12/11/02,22/06/09
549,"West Norfolk Hotel",,91,"Station Road","Heacham","King's Lynn","Norfolk","PE31 7AW","Andrew Lake","01485 570348","EH1046898",,,,,,,,,,140539,"Refuse",1100,2,"1100-1, 1100-2, CWTN-1","Two empties per week","T2",,,,"T1",,,01/07/08,
552,"Rebecca Court",,9,"Staithe Road","Heacham","King's Lynn","Norfolk","PE31 7EF",,"01485 570421","EH0950451",,,,,,,,,,208,"Schd.2/Refuse",1100,2,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,01/04/94,
,,,,,,,,,,,,,,,,,,,,,121845,"Schd.2 Rec",1100,2,"1100-12, CWTN-2","Fortnightly: except Xmas/New Year weeks",,,,"R2 WK 1",,,,01/03/07,
557,"Great Wall Chinese Take-Away Ltd",,1,"Lodge Road","Heacham","King's Lynn","Norfolk","PE31 7AA","Mr Koon Fat Mo","01485 571046","EH0981125",,,,,,,,,,,"Refuse",770,1,"770-1,CWTN-1","One empty per week",,,,,"T1",,,01/04/93,
562,"The Dogotel","Peddars Lodge",,"Harpley Dams","Hillington","King's Lynn","Norfolk","PE31 6DS","Mr & Mrs D Nicholls","01485 520346","EH2028101",,,,,,,,,,135060,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,"D3",,,,,07/01/08,
